Clocks: Frequency
Exploration Point,clk_div:divider|count[27],fclk|fclk_inst|altera_pll_i|general[0].gpll~FRACTIONAL_PLL|vcoph[0],fclk|fclk_inst|altera_pll_i|general[0].gpll~PLL_OUTPUT_COUNTER|divclk,i_clk
dse1_base,1000.0 MHz,400.0 MHz,400.0 MHz,50.0 MHz
