f(MAX) Summary
Exploration Point,clk_div:divider|count[27],fclk|fclk_inst|altera_pll_i|general[0].gpll~PLL_OUTPUT_COUNTER|divclk,f(MAX) Geomean
dse1_base,475.06 MHz,403.39 MHz,437.761 MHz
